num,phase,label,experiment_type,report_dir,result
1,1,capacity-service,scale-service,none,FAIL(1)
2,1,map-service,scale-service,none,FAIL(1)
3,1,iam-service,scale-service,none,FAIL(1)
4,1,notification-service,scale-service,none,FAIL(1)
5,2,redis,scale-service,none,FAIL(1)
6,2,db,scale-service,none,FAIL(1)
7,3,drain-node,drain-node,none,FAIL(1)
8,3,block-firewall,block-firewall,none,FAIL(1)
